event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"PNW District Auburn Mountainview Event",1258,7461,2,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7609,3,0,0,1,0,0,0,9,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7544,4,0,0,0,0,0,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7689,5,0,0,0,1,0,0,3,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7698,6,0,0,0,2,1,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7631,7,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7709,8,0,0,0,1,0,0,4,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7574,9,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1318,7576,1,0,0,1,0,2,5,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7533,2,0,0,2,0,0,5,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1318,7679,3,0,0,2,0,0,4,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7686,4,0,0,0,0,0,5,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7417,6,0,0,0,1,2,1,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7566,7,0,0,1,0,0,3,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1318,7433,8,0,0,0,2,0,3,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7437,9,0,0,1,0,0,4,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1425,7447,1,0,0,1,0,0,2,0,1,1,0
2018,"PNW District Auburn Mountainview Event",1425,7601,2,0,0,1,0,2,1,0,1,1,0
2018,"PNW District Auburn Mountainview Event",1425,7540,3,0,0,1,0,3,2,1,1,1,0
2018,"PNW District Auburn Mountainview Event",1425,7752,4,0,0,1,0,0,3,3,1,0,0
2018,"PNW District Auburn Mountainview Event",1425,7688,5,0,0,0,0,0,7,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1425,7766,6,0,0,1,0,1,4,1,1,0,0
2018,"PNW District Auburn Mountainview Event",1425,7426,7,1,0,0,4,0,5,3,1,0,0
2018,"PNW District Auburn Mountainview Event",1425,7502,8,0,0,2,0,0,4,0,1,1,0
2018,"PNW District Auburn Mountainview Event",1425,7440,9,0,0,1,1,0,2,5,1,0,0
2018,"PNW District Auburn Mountainview Event",1778,7747,3,0,0,1,1,6,0,3,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7542,4,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7560,6,0,0,1,0,2,1,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7423,7,0,0,1,0,4,1,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7501,8,1,0,0,0,0,4,1,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7504,9,0,0,1,0,2,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1778,7580,10,0,0,0,0,5,2,0,0,0,1
2018,"PNW District Auburn Mountainview Event",1899,7538,3,0,0,0,2,0,0,0,0,0,1
2018,"PNW District Auburn Mountainview Event",1899,7407,4,0,0,1,0,0,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1899,7776,7,0,0,0,1,0,0,0,0,0,0
